,username,rating,review_year,review_month,platform,headline,post_text,visit_year,visit_month
10,cheshiremike09,1,2020,8,mobile,Sanitised track and traced,Sanitised track and traced waited at the bar....waited and waited. The chap behind the bar seemed to be putting a drinks order together but never acknowledged us so we walked out and went somewhere else. Needs a bit more organisation particularly in the present circumstances ,2020.0,8.0
11,Djm170,3,2020,8,non-mobile,Post Covid summer evening meal,"The menu was really disappointing, sorry, but it was a winter menu - pies, duck with mushy peas and chips, ? Nothing actually to be nicely cooked",2020.0,8.0
12,298clarec,5,2020,3,mobile,Saturday meal with family ,Lovely restaurant with an extensive drinks menu! Others in our group had been before and recommended the curry but I decided on the steak pie it was amazing! The chips were fab and I did try some curry- pinched off my son ha ha and that too was great. We will definitely return loved it! ,2020.0,3.0
13,Conckers,5,2020,2,mobile,Excellent!,"I was in the area and remembered a fantastic Curry I had here once. I was in luck. They had an excellent Menu on and also still specialise in Curries . I had the Lamb Curry which was even better than I remember ! I also had the Apricot and Almond Frangipan along with Salted Caramel Ice Cream. The Food was up there with Restaurant Best Ive had. . So nice to have a real Traditional Pub ( that hasnt been Farrow and Balled !- no disrespect to them ) that was well attended and appreciated by Locals and Visitors , even on a Wednesday. I came away with a very good feeling and will be choosing to go there a lot more. I noticed a Lovely Garden at the back for lazy Summer Days. ",2020.0,2.0
14,jodie r,5,2020,2,non-mobile,Lovely place to visit,"Visited here with my partner as we were camping in the area, lovely warm welcome from the staff and extensive drinks menu, the food was great with good portion sizes and value for money. Homely feel with the log fire we would definitely visit again",2020.0,2.0
15,GCHLHH,5,2019,12,mobile,Great food,"We visited the Bhurtpore for my wife’s birthday meal.I had pre-booked a table and asked for a quiet spot. I had also delivered a birthday cake the day before ready to surprise my wife.I had not been here for about twenty years but the place was recommended to me and I was not disappointed.The restaurant is very clean and you can tell it is well cared for. On the way out we went past the kitchen window and this too was very clean and tidy.The staff were really pleasant and friendly.We had starters and main course from the ala carte menu and specials board. All the dishes looked very nice. I had onion bhajis for my starter which were very tasty and clearly home made. For my main course I had the braised lamb shoulder, chips and fresh vegetables from the specials board, this was so tender that it fell from the bone and was excellent. All the other people in the party also said how nice their meals were.The portion sizes were very good too. We ordered some garlic bread to share between us all with the main course but we left most of this.As we had a birthday cake we did not order desserts. Although the menu did sound very nice.After our meal the waitress (sorry I forgot her name) brought out the birthday cake and started a rendition of happy birthday. My wife then gave all the staff a piece of the cake.The meal was also reasonably priced as for starters, mains and drinks for five people came in at just over £150.Many thanks to the staff both front and back of house for their hard work.I would definitely recommend this place.",2019.0,12.0
16,kennethollerhead,4,2019,12,non-mobile,Locals party,"We went as a group from our village computer club. There were 18 of us who enjoyed a lovely meal. There was a good choice from a set menu and also we could choose from the a la carte if preferred . The meals were well presented by friendly efficient staff and a good time was had by all. The pub has a widely respected reputation, both for its food and its wide selection of real ales. Certainly well reccommended.",2019.0,12.0
17,Richard W,5,2019,12,non-mobile,This Exceptional Pub Truly Is The Cathedral of Beer,"This outstanding inn offers a truly remarkable array of real ales,lagers, gins and whiskies. As a regular who enjoys real ale, the 11 hand pulled pumps offer a kaleidoscope of choice for the discerning beer drinker. As a dark beer drinker I particularly like the fact that there is one pump which is always dispensing a stout or a porter. There is always something interesting on offer to try.Simon & Nicky opened this pub in 1997. The plethora of CAMRA awards that adorn the walls (including Cheshire Pub of the Year 2019) are testament to years of hard work and attention to detail that make The Bhurtpore what it is today. The staff are welcoming, knowledgeable, friendly and offer drinkers and diners alike great service. As well as the traditional pub ambience, they offer a competitively priced menu cooked to a high standard using quality local ingredients to suit all tastes. For those wanting a more formal dining experience there is a dedicated separate Dining Room. This establishment caters for drinkers, diners and larger parties booked in advance.If you like mass produced beer made by volume brewers you may be disappointed. Be open to trying what’s on offer not what your used to. You will be pleasantly surprised, particularly if you give the staff an idea of what you like so they can give you advice on what may be suitable to your taste. If it suits you, I guarantee that like myself you will keep coming back.",2019.0,12.0
18,ukexplorer2000,4,2019,11,non-mobile,great food with friends,great selection of curries that suited all our tastes and well kept ales. service was friendly and efficient.,2019.0,10.0
19,goodfoodlocally123,4,2019,11,non-mobile,Very good,Good meal and excellent ales a really good atmosphere and very knowledgable staff. Overall a good experience.,2019.0,9.0
20,Robert B,5,2019,10,non-mobile,Bhurtpore Inn,This unusually named Inn does a variety of ales and has a meal selection that is half English and half Indian. All tastes are catered for. There are several rooms and a large car park. What better way to spend an autumn evening? Food was delicious and ales were real.,2019.0,10.0
21,rockyWirral,5,2019,10,non-mobile,best pub around,been goin here for near 10 yrs travel 40 miles each way always had the best food and theres so much to choise from oh especially beef rib. Had delicious lamb roast today and father in law had fish n chips and he always says its delicious and hes fussy fart. Curries which i have regularly are top notch full of flavour . Spoilt for choice and on the drinks side aswell especially as im driving lots of soft drinks variety. cant fault the place really. Staff are great freindly and attentive well except Simon hes barred me 3 times hahahahaha,2019.0,10.0
22,249katyd,4,2019,10,mobile,Really good beer. Staff were,Really good beer. Staff were nice. The food was good. Maybe another vegetarian option on the menu would be a nice idea. Otherwise we will be back.,2019.0,10.0
23,Joe H,5,2019,10,non-mobile,Pint and curries with friends,WE are so lucky having this great village pub so near to us. We had friends visiting from Yorkshire and they loved the Pub/Staff/Reall ales and curries. Eleven real ales plus lists and lists of Gins,2019.0,10.0
24,Inspire811693,5,2019,10,non-mobile,Food standard is always great.,They specialise in curry but they cater for every taste and neither I or my friends have ever had a bad meal there. The pub also has lots of 'guest' beers on and we have tried quite a few over the years. Something for everyone and lovely warm open fires give the whole place lots of atmosphere. You won't be disappointed!,2019.0,10.0
25,sultrylady,5,2019,9,mobile,Regular haunt,"This place has old fashioned decor but do not let that put you off ! The landlord knows how to look after his beer, he has won many awards, there is always several to choose from, it is consistently good The wine menu is also very good The ambience is nice, lots of events held here, from live music to car shows. Simon knows how to run a pub Oh and he also knows how to make a curry !! Make sure you look up the name of the pub on the free wi-fi, whilst you're there. Very interesting history . Nothing to dislike ❤",2019.0,9.0
26,MtbingGirly,5,2019,9,mobile,Beautiful ,"Another visit to this fantastic place with my mother. The service is seco d to none. They are all so friendly and great at what they do. The food is just superb. I had the beef madras again. Bei g good I just had ri e though half and half with chips is definately a good choice as the chips are really nice too. The curry is home made and absolutely perfect.My mum once again had sirloin steak, cooked to perfection(medium) and it was totally beautiful amd tasty. The peppercorn sauce again was so tasty! Onion rings, tomato, veg. All home made and just lovely.They have a great selection of beers too.We love it here and can't recommend it enough. All the food we saw coming out looked beautiful.We highly recommend this place for the delicious, home cooked food, the exceptional service and for the beer.Trouble is we love those dishes so much that we just order the same thing every time...The menu is very good too. Plenty of choice and all home made I imagine. ",2019.0,9.0
27,NigelJ380,5,2019,8,mobile,Best pub / restaurant around. ,"I have reviewed the Bhurtpore many times, and it is more or less impossible to pick fault with this wonderful place. If you want an unrivalled choice of cask ales, Belgian beers and whiskies etc. look no further. The cask beers are all at reasonable prices, but I can't speak for the others, as I don't drink them. The meals are consistently good, and comprehensive gluten free options are available. If you like fish, the haddock pancake starter is really good. My wife, who is a coeliac, had a Sunday roast which she really enjoyed. In short, you get superior food, drink and service, for a very reasonable price. ",2019.0,8.0
28,Colstongal,4,2019,8,non-mobile,Good Venue for a Celebration,"This was the venue for a special birthday celebration and it proved to be a good choice. Staff were friendly and efficient, served 9 of us without a long wait and it was great that there was a good choice of curries and conventional pub grub so that all tastes were catered for. It was fairly noisy being a Saturday night and for anyone wanting a quieter experience it may be better to visit in the week but this is definitely a very successful pub. Long may it continue!",2019.0,8.0
29,Andy W,5,2019,8,non-mobile,"Really friendly staff, lots of real ales, huge menu, quirky old pub, dog-friendly - would go again","We went for lunch on a Friday in August - place very quiet, not busy at all.Lots of real ales/craft beers described on blackboards and the one I had was very well keptDecent choice on menu, with probably twice as many things on the Specials board - pub grub like pies and burgers, steaks and lamb-shoulders, etc and what we had was good, didn't have to wait especially long. Overall price reasonable too.Staff were young and friendly, helpful - made a big fuss of our labrador who was perfectly welcome in the back bar and got a biscuit from the jar on the bar.The building itself is fun, lots of smaller rooms opened-out, but quirky rather than a big empty modern building.I'd recommend it.",2019.0,8.0
30,Mickigirl1310,4,2019,7,non-mobile,An excellent eatery,"We stopped here for lunch, whilst passing through this village, and were immediately drawn to the blackboards with the Specials written on them. There are an enormous number of meals available - something for every taste, but we went for the very good curries. The pudding of merengue with strawberry was also excellent.All in all, what with the pleasant and speedy service, we enjoyed our lunch hugely.We would definitely return if we were in the area.",2019.0,7.0
31,Linda F,5,2019,7,non-mobile,Lovely pub has been in the same family for years.,"Off the beaten track, this pud has an extensive menu and drinks list. Welcoming and enjoyable food freshly prepared. Pleased to see that this is a pub where it does not have as many dogs as people in the restaurant, thank you for a relaxing lunch.",2019.0,7.0
32,RH192,5,2019,7,non-mobile,First visit but not the last,"Good choice of cask ales, good food and a friendly welcome by the staff, what more can you ask from a village pub. Veggie items also on the menu which is a must for us.",2019.0,7.0
33,NigelJ380,5,2019,7,mobile,You will not find better. ,"I have done so many reviews of the Bhurtpore, it's difficult to find something different to write, especially when the standards they set are so high. The range of cask ales is legendary, so it is not a problem to find one that suits you. If you can't pick one from the large range on display ( 11 I think), you must be hard to please. The meals are consistently good, with a comprehensive specials board. Again, if you can't find a meal to suit from the menu or specials, you must be really fussy. The haddock pancake starter is a must for me, and the curries are excellent too. The gluten free options are good too. In short, the Bhurtpore sets the standard by which my wife and I judge other restaurants. ",2019.0,6.0
34,Thepubagain,4,2019,6,non-mobile,Great Find,"Decided to try this pub as previous visits to a nearby alternative had become a bit of a disaster!!This place is also dog friendly but with helpful, knowledgeable staff!!Excellent menu choice which is value for money but had to wait half an hour for meals to arrive even though we were first to order that particular lunch timeLooking forward to a return visit very soon",2019.0,6.0
35,Tiny M,5,2019,6,mobile,Lovely family meal,This was another lovely evening in a country pub which serves great food.We came on a Friday evening and it was busy but not crammed in and not as noisy as other areas. Other restaurants could learn from this that it is about the enjoyment of the clients and not all about revenue generating as is the case in many places.Service was as good as always and the food was so tasty. All 8 of us had great meals and I'll pick out certain dishes that were especially good.The smoked haddock pancakes were delicious to start and 6 out of 8 had curries for mains. I had the venison curry which was very tasty and fairly hot that resulted in my head leaking!!!Only one of my kids could fit in a sweet!!!All I can say in summary is that this is a good bet for a great meal in a great atmosphere and highly recommended ,2019.0,5.0
36,Tyke23,5,2019,6,mobile,Back to high quality standards of food and real ale,"As a family we have been long term visitors to the Bhurtpore Inn . Our last visit was a few years ago when we had been disappointed by the quality of food and disappointing real ales. We risked a booking for an early evening Sunday meal having booked a table having noticed good reports from both Camra and Trip Advisor. The Bhurtpore was busy and the fond remembered mix of types of real ales were available, including a great dark Atom Odorata Stout (4.2%) from Hull (£3.70) We had a half of that to accompany our food. The menu is the same as we remembered but the impressive range of specials on the chalkboards meant my wife and son had to make two visits to check them out! We ordered a carrot and coriander soup with fresh warm bread as a starter (£5.50) which is well worth the price ( and almost a meal in itself!) . The carrot soup was on a large oval plate with two halves of a large warm crusty bread roll, small dish of croutons and butter. The soup was fresh and tasty with lovely shavings of carrot with the body of the creamy soup.We had ordered different main courses. I had ordered a steak and kidney pie with shortcrust pastry top , a favourite of mine in the past, I was so pleased that it was a quality tasty pie, like I used to order, with lovely steak and kidney underneath a delicious pastry lid. ( £11.50) . My wife ahead a sirloin steak and my son ordered a roast beef meal. We had a huge portion of lovely cooked chips , although we could have ordered several other varieties of potatoes as an accompaniment. We also had a dish of fresh vegetables including cauliflower, carrots and broccoli.The waitress service was friendly and but was clearly under pressure . The request for a glass of table water was forgotten but can be forgiven under the pressure of trying to serve so many people with a myriad of complex orders. It is a restful place to eat and drink and we are so glad we called in again .. we shall return !",2019.0,6.0
37,paul d,4,2019,5,mobile,Sat afto drinks and nibbles,"Caught the train from Nantwich and lovely walk across a few fields with friends , great choice of draft ales and bottled Belgium's, honey chilli peanuts to die for , great service , great pub",2019.0,5.0
38,A3DFU,4,2019,5,non-mobile,Excellent real ales,"If you're a real ale lover, this place is a must. I've been many times with friends and it's always excellent on the choice of real ales.There's an extensive menu plus a regularly changing specials board. The choice for vegetarians isn't massive but there's enough variation to satisfy the discerning diner.",2019.0,5.0
39,kernowwizard,5,2019,5,non-mobile,An amazing pub,"I have reviewed this pub some time ago and I am pleased to report that it is still a great pub. The range of beers, wines and spirits is amazing. A lot of the beers are guest beers, but on a very large board is the name of the beer, its strength, its price and a brief note about it. Study the board then confuse yourself by looking at the numerous ciders. Order a beer and then keep looking. You could if you have the time, be there for a long time!!Now then, the food. The menu is not vast but there is a good choice and it is very good. Take a look at the Specials Board even more excellent dishes and then if like me there is another board to check out - Yes, it is curries. These are not your usual pub curries, these are authentic and equal anything you are likely to get in top class Indian restaurant.So, do book a table, get there at least 30 mins before your table time, check out the beers etc. Check out the Specials, then sit at your table, check out the main menu and then make your decision. The staff are great and very patient, but don't take overly long to order, they are usually very busy.",2019.0,4.0
40,Linzi515,2,2019,5,mobile,Average,"Came here with friends for a meal, the curry tasted like it was out of a tin, not enough rice with the curry. The venue itself is really nice though and there’s a great selection of beers. I wouldn’t go there again for food although I would certainly have a drink there.",2018.0,10.0
41,TonyF884,5,2019,4,mobile,Saturday lunch,"Excellent excellent excellent Delicious food, perfect service, wonderful beers. Nothing to fault at all. Can’t wait to come back.",2019.0,4.0
42,Lee H,4,2019,3,mobile,Good food,"Visited here for Sunday lunch a couple of weeks back with out 13 year old daughter, food was really good apart from having a limited menu for children. Specials board was varied and looked tasty. Only downside we asked for additional drinks whilst having our lunch and was asked by the waitress to go to the bar which I didn’t find very good at all. Great food , let down a little by the service",2019.0,3.0
43,jfc251,5,2019,3,mobile,A hidden gem,"If you like real ale this is the place to visit. It's a very country pub, with log fires and hearty grub. It's been our favourite local for 16 years and never had a bad experience yet. The staff are great and we highly recommend it",2019.0,3.0
44,NigelJ380,5,2019,3,mobile,Great restaurant. ,"My wife booked a meal at the Bhurtpore, as it is my favourite pub/restaurant bar none. I make this admission now, but would point out that it doesn't prevent me from writing an honest review. This place has got the lot, with good staff, good beers and good food. The choice of ales is amazing and there are plenty of specials to chose from on the menu board. I defy anyone not to be able to find something they like in both categories. The haddock pancake starter is brilliant, and my venison casserole from the social board was really good. My wife's meal was also excellent, as the Bhurtpore do a good selection of gluten free options. The service we received was also first class. We have been here many times over the years, and have found it to be consistently good during that time, hence the rating. ",2019.0,3.0
45,Steve W,2,2019,3,non-mobile,Don't bother!,"Met family here for lunch on a Saturday.The pub is famous as a magnet for beer drinkers; typically will have 8/9 real ales on draught. Tried a couple and can cofirm they are well kept.However, the rest of the visit was rubbish. We have a small well-behaved dog with us; because of that we were banished to a room in the 2nd extension (the building has been extended several times) about as far away from the bar as we could be. Completely lacking in atmosphere - basically like eating in a cafe.Had sausage egg & chips from the ""small meals"" menu - at £7,50 it was a rip-off. 3 small sausages, a watery fried egg, and a handful of frozen chips was it. 2 of us had the chicken curry - slightly better but still unpleasant looking and smelling strongly of cumin.This used to be a really interesting place; now not worth the trip with so much else in the area.",2019.0,3.0
46,Wybunbury1,5,2019,2,mobile,Lovely food and great ale,"Attended on a Wednesday night and the pub was busy but plenty of room. Great selection of beers and I had a cpl of Salopian beers which were well kept. For starters i tried spicy lamb samosas and my wife the haddock in a sauce wrapped in pancake which was delicious. My wife had the fish cakes and I had the steak, Stilton and red wine pie. I have to say the pie was stuffed with quality meat and I was completely stuffed afterwards no room for deserts.We paid £55 for two courses and drinks which I thought was good value as we could not eat any more. Staff very nice and landlord extremely friendly. ",2019.0,2.0
47,Jackie W,5,2019,1,non-mobile,Fabulous Sunday Lunch & Atmosphere,"Despite the car park being full, using the overflow car park, the dining area was spacious and didn't feel over crowded, a wonderful Sunday atmosphere. As usual a warm welcome by friendly helpful staff, excellent tasty food, a wonderful experience. Thank You!",2019.0,1.0
48,Sally H,5,2019,1,non-mobile,"Sunday lunch, great atmosphere","Previous reviews and a friends recommendation didn’t let us down. After a long walk we popped in for Sunday lunch around 1 pm. Fantastic choice and both meals delicious. We chose roast beef and from the specials beef and Stilton pie. My husband was very impressed with the beer to select from. If you’re a Gin lover, a visit is a must. The Gin list some four pages long.",2019.0,1.0
49,Ray P,4,2019,1,non-mobile,Village Pub atmosphere,"A warm and friendly place, log fires good banter and very good food.I used to live in the area and go back to dine with friends, always worth a visit.Try it if you like special beers...Will go again",2018.0,12.0
50,RandRH,5,2018,12,mobile,Relaxing drink,"We called at the Bhurtpore for a drink on Saturday afternoon.It was not busy and we found a cosy seat in the bar.Fabulous range of beers, ciders & gins from what I could see. There is an extensive list on the bar as they have many drinks off Show! Amazing!The barman was friendly and served us promptly. It was nice to relax with a quiet drink without Christmas tunes blaring out of the speakers!Hope to return shortly and try the food.",2018.0,12.0
51,NigelJ380,5,2018,12,mobile,Excellent as always. ,"It is difficult to think of something different to write, when I have done so many reviews of the Bhurtpore, because it never fails to amaze me. The range of cask beers means that there is an ale to suit every palate, and the food is so good. If you're a fish lover, I defy you not to love the haddock pancake starter. I go with the intention of trying a different starter, but I always end up with the pancake. In short, my wife and I have meals here on many occasions, and they are always first class, without being expensive. ",2018.0,12.0
52,Jackie W,4,2018,11,non-mobile,Lovely Meal with Great Friends,"A lovely country pub feel, warm fire and welcome. Great menu choice, good quality food at a sensible price. We have returned on several occasions recently, enjoyed each visit, especially with my 89 year old father, who is very particular about his food / dinning experience - Dad is more than happy to fully endorse the Bhurtpole....",2018.0,11.0
53,Claire S,3,2018,11,mobile,Disappointing,"Had several good meals but today was disappointing. Ordered double veg with mains and husband had a curry. We ended up with five poppadoms when we hadn't ordered extra and no veg. Told the staff we had ordered double veg and only ended up with one portion, so had to find another staff member to say still incorrect, by which time we had eaten most of our food.I can understand mistakes happen but it wasn't that busy and the waitress had read back to us what we had ordered. Hope it goes back to its normal good food",2018.0,11.0
54,ianw14,5,2018,11,mobile,Excellent pub and great food,"Went here after a long walk, and was pleasantly surprised to find both a great selection of cask ales, and a very reasonably priced bar snack menu. My mate and I had a couple of their hot baguettes (ham & brie; and cheese, mushroom & vegetable sausage), both of which were superb. Being a free house, they also have a really varied range of cask ales. Would highly recommend a visit here.",2018.0,11.0
55,johnwhite18,4,2018,11,non-mobile,Great food and lots of Beers on tap,Had lunch at the pub today great food and beers on tap on side parking the pubs a good size inside you have a warm welcome from staff and locals alike only thing I’m not keen on is staff saying hello guys that’s fine in the USA but not in Cheshire,2018.0,11.0
56,dennis w,4,2018,9,non-mobile,Sunday lunch,"I am afraid it got off to a bad start when after being told where our table was no one came to us.On enquiring was told you have to go to the bar your self to order the drinks which was a rather long wait.Once this initial bad start to our visit everything went very well my wife's pork tenderloin was excellent as was my shoulder of lamb,my wife had the ginger pudding which again was excellent.My pint of beer was as good as it gets and my wife's wine was also as good.Overall a very good lunch but with a little tweaking on the drink service it would have been excellent.I forgot to say how good the staff were.",2018.0,9.0
57,Berwick53,4,2018,9,mobile,Lunch,"Never having ordered an Indian curry outside of an Indian restaurant, we were curious to try here as highly recommended. Two of us had a lamb curry and one had a chicken mango curry, served with rice papadum and nan. The other in our group stuck to fish & chips. All the curries were decent without being special, not enough to bring us back just for the curry, but perhaps to try the rest of the menu. Service was also good with friendly staff.",2018.0,9.0
58,tomcR4551IY,5,2018,9,non-mobile,Wish we lived in the village!,"We always find a reason to visit when in the area, & as we were having a short break at Combermere Abbey, we had the chance to eat dinner here. As always the food is fantastic, the choice of ales is stunning, & the service excellent.Great choice of food & curries, & always served piping hot (we have a thing about having hot food)Dog friendly area as well",2018.0,9.0
59,ChrisMeadowcroft,5,2018,9,mobile,Nantwich Ale Trail,What a fantastic pub and restaurant! The range of ales were excellent and the pub itself was really welcoming. As we were simply “passing through “ I can’t comment on the food - yet! Although from discussions I had with some locals revealed a great range of Indian food.Definitely on my to do list before Christmas.,2018.0,9.0
60,Sue M,3,2018,8,non-mobile,"Lovely staff, nice atmosphere, average food","Called in for lunch bank holiday Monday. The staff were very welcoming and found us a table and brought the menus over straight away. We chose a chicken kashmir curry which is usually quite mild in the Indian take aways, however this was very hot and Im not sure that it was homemade, and salmon fishcakes with chips and salad. The fishcakes were quite nice but the frozen chips were undercooked. Overall I would say not the best quality food but portions were good. Ok but not great.",2018.0,8.0
61,clareb135,5,2018,8,mobile,Little gem of a pub ,"We came off the main roads to find a pub for dinner en route to holyhead instead of a McDonald's. We were not dissapointed. Lovely pub, very friendly, great home cooked food and a huge selection of ales. Highly recommended by us lot ",2018.0,8.0
62,Goatshave,5,2018,7,non-mobile,Magnificent South Cheshire Pub,"Quite the perfect hostelry. The food is always of o high standard using locally sourced ingredients. The service is friendly and very efficient. As for the beer, the best selection for many miles around. Check out any Thornbridge gems.",2018.0,6.0
63,NigelJ380,5,2018,7,mobile,Welcome return. ,"We have not eaten here for a few months, and I tend to suffer withdrawal symptoms. As usual, we weren't disappointed. There are good gluten free options to be had, and the beer selection is legendary. Excellent food, ale and service. Utopia. ",2018.0,7.0
64,I9146UFjohns,5,2018,6,non-mobile,A real gem,"A group of 3 were staying a few miles away by the canal and came across the Bhurtpore Inn after some very mediocre meals in pubs nearer to the canal.We were so pleased we did. Our first meal was lunch, very nice food, excellent service and reasonable prices. But our second visit the following evening was even better. The food was simply superb. I eat out 2 to 3 times a week on business and it is no exaggeration that the meal I had in the Bhurtpore Inn was the best I can remember in quite some time. Not only was the food excellent, so was the service. The staff could not do enough to make our visit perfect.Apart from the food, the range of drinks was excellent, and there was even a great pool table!All in all a place to visit if you are anywhere nearby. In fact, well worth going out of your way to visit - you will not be disappointed. Alas, we live over 200 miles away so we cannot make use more frequently, I would be happy to drive an hour to eat here!",2018.0,5.0
65,finjawsriga,4,2018,5,mobile,Trip out,Decided to go here as it had been a few years since last here. Portions still very generous and food tasty,2018.0,4.0
66,Jan R,5,2018,5,non-mobile,Still worth a detour,"A group of 4 visited recently having moved away from the area three years ago. We couldn't resist going out of our way to see how things were going at one of our favourite places. So glad we did. Everything we are and drank was excellent, in a great atmosphere. Hope we can get back again soon.",2018.0,5.0
67,chrisZ7672QT,4,2018,4,mobile,Very nice evening,"Aston is tucked out of the way a few miles out of Nantwich on the Whitchurch road. An interesting name. Pity I couldn't see anything giving some history (other than built in the 1700's) and where the name came from. The menu is basic but there already is in the specials board. A very interesting and extensive list with plenty to choose from. Leave the standard menu alone! I had shoulder of lamb cooked in minted juices and a minted gravy. Delicious, albeit a bit over cooked. But still tender. Not an extensive side of vegetables but adequate. I selected chips as the potato side. And very nice to. Overall, good but not great. But really and friendly with very good service making it overalls very enjoyable experience.",2018.0,4.0
68,Irishrob88,5,2018,4,mobile,Best Curries around,We drop into this place every now and then for a meal. Always have one of the curries they are brilliant. More authentic than anything you can get by a long way around here.,2018.0,4.0
69,weekender48,4,2018,4,mobile,Evening meal,"Warmly welcomed in a warm and cosy hostelry. A roaring fire and a place with a lot of atmosphere. Although the menu was very limited the “Specials Board” was extensive. The drinks ordered soon arrived and food orders were taken. Shortly after they were served and were hot, well presented and very tasty. The young serving staff were experienced and knowledgable of the meals on offer polite and pleasant. Prices of beverages and food reasonable. On leaving we were thanked for our custom and the landlord on the car park also spoke in appreciation, to me an excellent friendly public house. ",2018.0,4.0
70,Christine P,5,2018,3,mobile,3rd Tuesday Live Irish Music Session ,Lovely welcoming country pub. Food good. Beer selection superb. A must to visit if you are around South Cheshire.,2018.0,3.0
71,Nomad2k17,4,2018,3,non-mobile,"Lovely Pub, Great Curries","Visited here for tea and was not disappointed. The pub itself was lovely inside and the staff were really friendly. The food is the best bit though with a great menu and then an equally great curry menu! The food was really well made and of a great quality, the prices were reasonable too. For those that come here just for a drink, they also had loads of ales available on tap as well as the usual choices. Overall would definitely recommend.",2018.0,3.0
72,Wheelhouse66,5,2018,2,non-mobile,Again Pub Of The Year.,"Once again this is the best pub you will ever find.The food is very good and the landlords curries are superb with a wonderful choice.The choice of drinks are endless with beers, wines and spirits.A big thank you to the staff. locals and Simon and Nicky all superb.Our favourite pub of the year back soon.",2017.0,9.0
